point,latitude,longitude,altitude
98,-25.4531683131961,-49.2330763791847,0.0
97,-25.4531603095025,-49.2330969600690,0.0
96,-25.4531520483020,-49.2331186484548,0.0
95,-25.4531446230500,-49.2331385347762,0.0
94,-25.4531365622665,-49.2331596236118,0.0
93,-25.4531289558342,-49.2331802086285,0.0
92,-25.4531207539073,-49.2332008222252,0.0
91,-25.4531131598456,-49.2332216854780,0.0
90,-25.4531052515381,-49.2332426925276,0.0
89,-25.4530976478457,-49.2332635061978,0.0
88,-25.4530896530311,-49.2332840769854,0.0
87,-25.4530816830860,-49.2333052141943,0.0
86,-25.4530741230796,-49.2333259078954,0.0
85,-25.4530551556108,-49.2333364068858,0.0
84,-25.4530362372681,-49.2333277338387,0.0
83,-25.4530170221364,-49.2333191546202,0.0
82,-25.4529991211914,-49.2333110036792,0.0
81,-25.4529778163863,-49.2333013214034,0.0
80,-25.4529590256056,-49.2332927459404,0.0
79,-25.4529401521527,-49.2332840523635,0.0
78,-25.4529207200305,-49.2332754464953,0.0
77,-25.4529016184082,-49.2332665474390,0.0
76,-25.4528847795122,-49.2332588781864,0.0
75,-25.4528678680472,-49.2332511801644,0.0
