point,latitude,longitude,altitude
74,-25.4528620873700,-49.2332276882595,0.0
73,-25.4528772126854,-49.2331927443036,0.0
72,-25.4528906854066,-49.2331570090940,0.0
71,-25.4529043703204,-49.2331209028643,0.0
70,-25.4529179175066,-49.2330853554806,0.0
69,-25.4529301229209,-49.2330478389592,0.0
68,-25.4529568154414,-49.2330221128231,0.0
67,-25.4529776998439,-49.2330358681283,0.0
66,-25.4530020642109,-49.2330417271001,0.0
65,-25.4530269482672,-49.2330420100537,0.0
64,-25.4530499736008,-49.2330341265997,0.0
63,-25.4530677278690,-49.2330173410183,0.0
62,-25.4530801589317,-49.2329955718603,0.0
61,-25.4530895152424,-49.2329711131016,0.0
60,-25.4530992049208,-49.2329465997527,0.0
59,-25.4531079609442,-49.2329217718952,0.0
