point,latitude,longitude,altitude
75,-25.4528678680472,-49.2332511801644,0.0
76,-25.4528847795122,-49.2332588781864,0.0
77,-25.4529016184082,-49.2332665474390,0.0
78,-25.4529207200305,-49.2332754464953,0.0
79,-25.4529401521527,-49.2332840523635,0.0
80,-25.4529590256056,-49.2332927459404,0.0
81,-25.4529778163863,-49.2333013214034,0.0
82,-25.4529991211914,-49.2333110036792,0.0
83,-25.4530170221364,-49.2333191546202,0.0
84,-25.4530362372681,-49.2333277338387,0.0
85,-25.4530551556108,-49.2333364068858,0.0
86,-25.4530741230796,-49.2333259078954,0.0
87,-25.4530816830860,-49.2333052141943,0.0
88,-25.4530896530311,-49.2332840769854,0.0
89,-25.4530976478457,-49.2332635061978,0.0
90,-25.4531052515381,-49.2332426925276,0.0
91,-25.4531131598456,-49.2332216854780,0.0
92,-25.4531207539073,-49.2332008222252,0.0
93,-25.4531289558342,-49.2331802086285,0.0
94,-25.4531365622665,-49.2331596236118,0.0
95,-25.4531446230500,-49.2331385347762,0.0
96,-25.4531520483020,-49.2331186484548,0.0
97,-25.4531603095025,-49.2330969600690,0.0
98,-25.4531683131961,-49.2330763791847,0.0
99,-25.4530661247334,-49.2333469361339,0.0
100,-25.4530582311094,-49.2333676645317,0.0
101,-25.4530503756211,-49.2333885614119,0.0
102,-25.4530424847427,-49.2334095184680,0.0
103,-25.4530349082238,-49.2334303416647,0.0
104,-25.4530268037537,-49.2334508046525,0.0
105,-25.4530191394123,-49.2334710822268,0.0
106,-25.4530113756065,-49.2334920970791,0.0
107,-25.4530036037818,-49.2335124458229,0.0
108,-25.4529957316550,-49.2335334622515,0.0
109,-25.4529878506186,-49.2335544887511,0.0
110,-25.4529800105228,-49.2335751666236,0.0
111,-25.4529720651001,-49.2335960946217,0.0
112,-25.4529645754660,-49.2336166381057,0.0
113,-25.4529563357604,-49.2336378687033,0.0
114,-25.4529483951134,-49.2336591943688,0.0
115,-25.4529407253585,-49.2336790245338,0.0
116,-25.4529327368227,-49.2337001221898,0.0
117,-25.4529252991774,-49.2337204859172,0.0
118,-25.4529172166647,-49.2337412766875,0.0
119,-25.4529096062642,-49.2337622892670,0.0
120,-25.4529018700265,-49.2337825976838,0.0
121,-25.4528940307343,-49.2338033451216,0.0
122,-25.4528860232899,-49.2338243734326,0.0
123,-25.4528779872087,-49.2338452728919,0.0
