point,latitude,longitude,altitude
46,-25.4526875994928,-49.2336936972983,0.0
47,-25.4527029537998,-49.2336575170976,0.0
48,-25.4527163084615,-49.2336217141050,0.0
49,-25.4527297016117,-49.2335861094151,0.0
50,-25.4527429811741,-49.2335500688573,0.0
51,-25.4527565518396,-49.2335142129705,0.0
52,-25.4527699122605,-49.2334781413861,0.0
53,-25.4527833151181,-49.2334425961858,0.0
54,-25.4527968048789,-49.2334067712881,0.0
55,-25.4528102582862,-49.2333709270263,0.0
56,-25.4528237351736,-49.2333347841057,0.0
57,-25.4528371543720,-49.2332990994258,0.0
58,-25.4528488106275,-49.2332624560615,0.0
