point,latitude,longitude,altitude
98,-25.4531683131961,-49.2330763791847,0.0
97,-25.4531603095025,-49.2330969600690,0.0
96,-25.4531520483020,-49.2331186484548,0.0
95,-25.4531446230500,-49.2331385347762,0.0
94,-25.4531365622665,-49.2331596236118,0.0
93,-25.4531289558342,-49.2331802086285,0.0
92,-25.4531207539073,-49.2332008222252,0.0
91,-25.4531131598456,-49.2332216854780,0.0
90,-25.4531052515381,-49.2332426925276,0.0
89,-25.4530976478457,-49.2332635061978,0.0
88,-25.4530896530311,-49.2332840769854,0.0
87,-25.4530816830860,-49.2333052141943,0.0
86,-25.4530741230796,-49.2333259078954,0.0
85,-25.4530551556108,-49.2333364068858,0.0
84,-25.4530362372681,-49.2333277338387,0.0
83,-25.4530170221364,-49.2333191546202,0.0
82,-25.4529991211914,-49.2333110036792,0.0
81,-25.4529778163863,-49.2333013214034,0.0
80,-25.4529590256056,-49.2332927459404,0.0
79,-25.4529401521527,-49.2332840523635,0.0
78,-25.4529207200305,-49.2332754464953,0.0
77,-25.4529016184082,-49.2332665474390,0.0
76,-25.4528847795122,-49.2332588781864,0.0
75,-25.4528678680472,-49.2332511801644,0.0
74,-25.4528620873700,-49.2332276882595,0.0
73,-25.4528772126854,-49.2331927443036,0.0
72,-25.4528906854066,-49.2331570090940,0.0
71,-25.4529043703204,-49.2331209028643,0.0
70,-25.4529179175066,-49.2330853554806,0.0
69,-25.4529301229209,-49.2330478389592,0.0
68,-25.4529568154414,-49.2330221128231,0.0
67,-25.4529776998439,-49.2330358681283,0.0
66,-25.4530020642109,-49.2330417271001,0.0
65,-25.4530269482672,-49.2330420100537,0.0
64,-25.4530499736008,-49.2330341265997,0.0
63,-25.4530677278690,-49.2330173410183,0.0
62,-25.4530801589317,-49.2329955718603,0.0
61,-25.4530895152424,-49.2329711131016,0.0
60,-25.4530992049208,-49.2329465997527,0.0
59,-25.4531079609442,-49.2329217718952,0.0
1,-25.4531211012128,-49.2329214208956,0.0
2,-25.4531430198923,-49.2329318498644,0.0
3,-25.4531661844295,-49.2329422805295,0.0
4,-25.4531914570526,-49.2329538438182,0.0
5,-25.4532123814598,-49.2329634222214,0.0
6,-25.4532247811740,-49.2329690482262,0.0
7,-25.4532260352396,-49.2329704816841,0.0
8,-25.4532101093707,-49.2330079134265,0.0
9,-25.4531976920427,-49.2330435736739,0.0
10,-25.4531830197049,-49.2330793961111,0.0
11,-25.4531696274066,-49.2331150606372,0.0
12,-25.4531559858351,-49.2331510171612,0.0
13,-25.4531435939421,-49.2331872935134,0.0
14,-25.4531291394452,-49.2332224664013,0.0
15,-25.4531156568481,-49.2332581322155,0.0
16,-25.4531021413676,-49.2332940669803,0.0
17,-25.4530896714320,-49.2333306129207,0.0
18,-25.4530752286770,-49.2333660143091,0.0
19,-25.4530620699106,-49.2334015858721,0.0
20,-25.4530486697002,-49.2334373498817,0.0
21,-25.4530361282352,-49.2334739564986,0.0
22,-25.4530218257957,-49.2335090177237,0.0
23,-25.4530082587253,-49.2335451719480,0.0
24,-25.4529949385178,-49.2335808353229,0.0
25,-25.4529825428047,-49.2336168033903,0.0
26,-25.4529680443841,-49.2336520862049,0.0
27,-25.4529546526572,-49.2336878102629,0.0
28,-25.4529412717418,-49.2337236833099,0.0
29,-25.4529287566824,-49.2337602397639,0.0
30,-25.4529141982716,-49.2337957919003,0.0
31,-25.4529008051921,-49.2338314065678,0.0
32,-25.4528871671441,-49.2338676711385,0.0
33,-25.4528746781689,-49.2339041476330,0.0
34,-25.4528602916340,-49.2339389812885,0.0
35,-25.4528479351793,-49.2339782201592,0.0
36,-25.4528458823976,-49.2339779319242,0.0
37,-25.4528225744611,-49.2339675827223,0.0
38,-25.4527971935925,-49.2339560208279,0.0
39,-25.4527740034742,-49.2339457096887,0.0
40,-25.4527426310842,-49.2339313913803,0.0
41,-25.4527324789873,-49.2339039758791,0.0
42,-25.4527282362236,-49.2338709852603,0.0
43,-25.4527205055929,-49.2338429875254,0.0
44,-25.4527077263688,-49.2338155706096,0.0
45,-25.4526886748474,-49.2337853218351,0.0
46,-25.4526875994928,-49.2336936972983,0.0
47,-25.4527029537998,-49.2336575170976,0.0
48,-25.4527163084615,-49.2336217141050,0.0
49,-25.4527297016117,-49.2335861094151,0.0
50,-25.4527429811741,-49.2335500688573,0.0
51,-25.4527565518396,-49.2335142129705,0.0
52,-25.4527699122605,-49.2334781413861,0.0
53,-25.4527833151181,-49.2334425961858,0.0
54,-25.4527968048789,-49.2334067712881,0.0
55,-25.4528102582862,-49.2333709270263,0.0
56,-25.4528237351736,-49.2333347841057,0.0
57,-25.4528371543720,-49.2332990994258,0.0
58,-25.4528488106275,-49.2332624560615,0.0
75,-25.4528678680472,-49.2332511801644,0.0
76,-25.4528847795122,-49.2332588781864,0.0
77,-25.4529016184082,-49.2332665474390,0.0
78,-25.4529207200305,-49.2332754464953,0.0
