point,north,east,altitude
P001,7183708.706,677680.226,914.902
P002,7183706.314,677679.097,914.952
P003,7183703.784,677677.964,914.987
P004,7183701.024,677676.71,914.997
P005,7183698.739,677675.669,915.025
P006,7183697.385,677675.058,915.053
P007,7183697.251,677674.91,914.902
P008,7183699.138,677671.206,914.936
P009,7183700.632,677667.667,914.939
P010,7183702.375,677664.119,914.956
P011,7183703.976,677660.583,914.953
P012,7183705.606,677657.019,914.945
P013,7183707.098,677653.418,914.944
P014,7183708.815,677649.935,914.941
P015,7183710.427,677646.398,914.947
P016,7183712.042,677642.836,914.943
P017,7183713.544,677639.208,914.945
P018,7183715.261,677635.702,914.955
P019,7183716.836,677632.175,914.938
P020,7183718.438,677628.629,914.924
P021,7183719.948,677624.994,914.936
P022,7183721.648,677621.523,914.916
P023,7183723.27,677617.938,914.93
P024,7183724.863,677614.401,914.927
P025,7183726.356,677610.831,914.913
P026,7183728.077,677607.338,914.911
P027,7183729.679,677603.796,914.915
P028,7183731.28,677600.239,914.92
P029,7183732.787,677596.61,914.922
P030,7183734.517,677593.089,914.913
P031,7183736.118,677589.558,914.91
P032,7183737.748,677585.963,914.913
P033,7183739.251,677582.342,914.91
P034,7183740.96,677578.893,914.911
P035,7183742.459,677574.994,914.881
P036,7183742.684,677575.03,914.822
P037,7183745.23,677576.155,914.769
P038,7183748.003,677577.411,914.704
P039,7183750.536,677578.532,914.649
P040,7183753.962,677580.086,914.536
P041,7183754.995,677582.879,914.467
P042,7183755.355,677586.211,914.397
P043,7183756.118,677589.054,914.374
P044,7183757.442,677591.856,914.317
P045,7183759.451,677594.966,914.218
P046,7183759.266,677604.18,914.447
P047,7183757.446,677607.761,914.517
P048,7183755.849,677611.311,914.552
P049,7183754.248,677614.842,914.537
P050,7183752.657,677618.415,914.556
P051,7183751.037,677621.97,914.542
P052,7183749.437,677625.548,914.498
P053,7183747.835,677629.071,914.522
P054,7183746.223,677632.623,914.523
P055,7183744.614,677636.178,914.515
P056,7183743.002,677639.76,914.524
P057,7183741.398,677643.299,914.553
P058,7183739.985,677646.94,914.635
P059,7183710.162,677680.238,914.728
P060,7183711.214,677677.774,914.999
P061,7183712.368,677675.345,914.77
P062,7183713.485,677672.921,914.784
P063,7183714.933,677670.779,914.797
P064,7183716.955,677669.156,914.773
P065,7183719.53,677668.448,914.711
P066,7183722.285,677668.567,914.618
P067,7183724.963,677669.245,914.505
P068,7183727.23,677670.704,914.378
P069,7183730.27,677668.216,914.504
P070,7183731.746,677664.489,914.567
P071,7183733.365,677660.965,914.535
P072,7183734.999,677657.386,914.499
P073,7183736.61,677653.843,914.564
P074,7183738.401,677650.386,914.69
P075,7183737.838,677648.003,914.675
P076,7183735.991,677647.167,914.673
P077,7183734.153,677646.335,914.673
P078,7183732.067,677645.371,914.676
P079,7183729.944,677644.434,914.669
P080,7183727.883,677643.492,914.753
P081,7183725.831,677642.561,914.929
P082,7183723.505,677641.51,915.041
P083,7183721.549,677640.625,915.037
P084,7183719.451,677639.693,915.04
P085,7183717.385,677638.752,915.057
P086,7183715.25,677639.738,915.024
P087,7183714.344,677641.79,915.019
P088,7183713.391,677643.886,915.015
P089,7183712.438,677645.925,915.012
P090,7183711.527,677647.988,915.015
P091,7183710.582,677650.072,915.013
P092,7183709.672,677652.141,915.016
P093,7183708.695,677654.183,915.011
P094,7183707.785,677656.225,915.016
P095,7183706.822,677658.315,915.019
P096,7183705.934,677660.287,915.007
P097,7183704.947,677662.437,915.027
P098,7183703.993,677664.476,915.027
P099,7183716.205,677637.653,915.027
P100,7183717.148,677635.598,915.024
P101,7183718.087,677633.527,915.013
P102,7183719.03,677631.449,915.006
P103,7183719.938,677629.383,915.012
P104,7183720.904,677627.356,915.007
P105,7183721.819,677625.346,915.005
P106,7183722.749,677623.262,915.004
P107,7183723.677,677621.244,915.009
P108,7183724.619,677619.161,915.011
P109,7183725.561,677617.076,915.008
P110,7183726.497,677615.026,915.002
P111,7183727.447,677612.951,915.002
P112,7183728.344,677610.914,915.004
P113,7183729.326,677608.81,915.007
P114,7183730.277,677606.695,915.006
P115,7183731.191,677604.73,915.01
P116,7183732.146,677602.638,915.013
P117,7183733.037,677600.618,915.006
P118,7183734.001,677598.558,915.009
P119,7183734.913,677596.473,915.003
P120,7183735.837,677594.461,915.01
P121,7183736.774,677592.403,915.011
P122,7183737.73,677590.319,915.006
P123,7183738.689,677588.247,915
